	('Numbers: Zero-64', 'Digit: Zero')	('Numbers: Eight-1873', 'Digit: Eight')	('Numbers: Zero-5836', 'Digit: Zero')	('Numbers: Eight-5909', 'Digit: Eight')	('Numbers: Seven-562', 'Digit: Seven')	('Numbers: Seven-2325', 'Digit: Seven')	('Numbers: Two-4298', 'Digit: Two')	('Numbers: Five-3004', 'Digit: Five')	('Numbers: Six-3475', 'Digit: Six')	('Numbers: Four-5622', 'Digit: Four')	('Numbers: Two-804', 'Digit: Two')	('Numbers: Six-5128', 'Digit: Six')	('Numbers: One-1913', 'Digit: One')	('Numbers: Two-4577', 'Digit: Two')	('Numbers: Four-273', 'Digit: Four')	('Numbers: Six-497', 'Digit: Six')	('Numbers: Nine-5962', 'Digit: Nine')	('Numbers: Seven-1879', 'Digit: Seven')	('Numbers: Six-1564', 'Digit: Six')	('Numbers: Nine-2142', 'Digit: Nine')
pos_9-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-5	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-6	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-7	0	65	0	0	253	0	0	0	0	0	0	0	0	0	11	0	19	205	0	0
pos_10-8	0	253	21	0	249	0	0	0	0	0	0	0	0	0	216	0	204	254	0	0
pos_10-9	11	109	211	0	222	85	0	0	0	0	0	0	0	0	251	0	254	254	0	0
pos_10-10	192	0	252	0	140	222	0	0	0	86	0	0	0	0	111	0	195	254	0	184
pos_10-11	254	0	205	108	31	253	57	0	0	241	0	0	0	0	0	29	0	254	0	242
pos_10-12	95	0	31	253	0	253	141	106	0	220	0	44	10	0	0	229	0	222	81	42
pos_10-13	0	0	0	253	0	254	141	253	170	29	0	236	178	0	0	252	0	136	244	0
pos_10-14	0	0	0	207	0	253	0	246	255	0	0	225	253	0	0	252	0	39	254	0
pos_10-15	0	0	0	45	0	253	0	32	198	0	0	36	252	32	0	143	0	15	117	90
pos_10-16	0	0	0	212	0	253	0	3	0	0	0	0	55	238	0	0	130	170	2	253
pos_10-17	65	0	0	253	0	254	29	58	0	0	0	0	0	253	9	0	221	254	0	84
pos_10-18	254	21	0	253	73	253	226	113	0	0	85	0	0	111	229	0	161	149	7	0
pos_10-19	207	131	32	253	242	253	255	113	0	38	222	0	0	0	254	0	0	0	17	0
pos_10-20	0	253	236	253	253	253	57	189	0	218	252	0	0	0	41	0	0	0	6	0
pos_10-21	0	253	253	183	253	93	0	207	0	204	100	0	0	0	0	0	0	0	0	0
pos_10-22	0	64	179	13	12	0	0	251	0	16	0	0	0	0	0	0	0	0	0	0
pos_10-23	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-24	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-5	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-6	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-7	0	32	0	0	204	0	0	0	0	0	0	0	0	0	94	0	153	172	0	0
pos_11-8	0	236	144	0	81	85	0	0	0	0	0	0	0	0	254	0	253	213	0	0
pos_11-9	127	217	252	0	0	221	0	0	0	0	0	0	0	0	224	0	253	141	0	28
pos_11-10	254	25	252	0	0	254	0	7	0	229	0	0	0	0	0	0	177	130	0	247
pos_11-11	220	0	71	14	0	254	0	117	0	254	0	0	0	0	0	85	13	107	11	135
pos_11-12	35	0	0	38	0	169	0	250	57	89	0	146	29	0	0	252	5	2	169	0
pos_11-13	0	0	0	215	0	68	0	243	255	0	0	247	252	0	0	252	38	0	254	0
pos_11-14	0	0	0	253	0	0	0	137	255	0	0	75	253	0	0	252	80	0	220	15
pos_11-15	0	0	0	234	0	0	0	234	57	0	0	0	186	68	0	75	164	20	20	208
pos_11-16	0	0	0	253	0	0	0	189	0	0	0	0	12	253	0	0	251	243	5	240
pos_11-17	12	71	0	253	13	0	0	253	0	0	0	0	0	244	71	0	253	254	81	8
pos_11-18	254	203	0	253	222	231	29	253	0	0	63	0	0	36	254	0	211	149	198	0
pos_11-19	237	253	0	253	253	254	226	253	0	70	253	0	0	0	254	0	0	0	254	0
pos_11-20	45	244	144	242	253	169	170	253	0	254	235	0	0	0	120	0	0	0	192	0
pos_11-21	0	131	253	65	182	0	0	193	0	87	96	0	0	0	0	0	0	0	98	0
pos_11-22	0	32	221	0	5	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-23	0	0	41	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-24	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-6	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-7	0	0	37	0	0	89	0	0	0	0	0	0	0	0	121	0	203	0	0	0
pos_12-8	21	186	253	0	0	247	0	0	0	0	0	0	0	0	254	0	253	0	0	0
pos_12-9	233	253	253	0	0	254	0	11	0	139	0	0	0	0	224	0	253	0	0	30
pos_12-10	253	206	222	0	0	244	0	141	0	254	0	0	0	0	0	175	253	0	0	253
pos_12-11	86	24	41	0	0	89	0	253	0	145	0	85	0	0	0	237	221	0	135	227
pos_12-12	0	0	0	0	0	6	0	253	226	3	0	254	44	0	0	252	211	0	254	85
pos_12-13	0	0	0	209	0	0	0	231	255	0	0	172	252	0	0	153	245	0	249	144
pos_12-14	0	0	0	253	0	0	29	95	141	0	0	0	253	0	0	23	253	0	82	213
pos_12-15	0	0	0	253	0	0	86	179	0	0	0	55	167	145	0	0	254	41	34	253
pos_12-16	0	78	0	253	14	0	86	103	0	0	0	114	0	253	0	0	253	254	153	238
pos_12-17	12	243	0	253	116	130	86	103	0	0	0	101	0	196	87	0	253	254	254	0
pos_12-18	255	253	0	253	253	251	86	103	0	32	63	9	0	0	254	0	244	107	254	0
pos_12-19	254	245	0	241	253	253	198	16	0	227	253	0	0	0	254	0	0	0	254	0
pos_12-20	71	77	0	152	235	69	198	9	0	197	227	0	0	0	120	0	0	0	254	0
pos_12-21	0	0	255	0	57	0	29	3	0	2	32	0	0	0	0	0	0	0	233	0
pos_12-22	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0
pos_12-23	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-6	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-7	0	0	78	0	0	228	0	0	0	0	0	0	0	0	121	0	186	0	0	0
pos_13-8	181	15	252	0	0	253	0	0	0	123	0	0	0	0	254	0	253	0	0	0
pos_13-9	254	210	220	0	0	254	0	172	0	245	0	0	0	0	224	87	253	0	0	2
pos_13-10	249	253	45	0	0	123	57	253	0	239	0	0	0	0	0	221	253	0	76	121
pos_13-11	0	243	0	26	0	0	114	253	170	32	0	156	0	0	0	252	254	0	249	251
pos_13-12	0	129	0	116	0	0	170	253	255	0	0	254	169	0	0	206	253	0	254	239
pos_13-13	0	10	0	244	0	0	226	253	226	0	0	208	252	0	0	76	253	0	127	213
pos_13-14	0	0	0	253	0	0	255	253	0	0	0	198	253	0	0	0	253	0	38	175
pos_13-15	0	76	0	253	52	0	255	244	29	0	0	252	167	210	0	0	254	152	222	253
pos_13-16	0	248	0	253	199	9	255	149	86	5	0	254	0	253	6	0	253	254	254	238
pos_13-17	12	253	0	253	253	254	255	0	57	17	19	253	0	112	202	0	253	231	224	0
pos_13-18	254	215	0	240	253	253	255	0	0	153	233	111	0	0	254	0	128	19	125	0
pos_13-19	254	25	0	87	253	183	255	0	0	254	252	0	0	0	254	0	0	0	125	0
pos_13-20	71	0	0	0	63	13	255	0	0	245	84	0	0	0	120	0	0	0	213	0
pos_13-21	0	0	253	0	0	0	255	0	0	117	0	0	0	14	0	0	0	0	254	0
pos_13-22	0	0	252	0	0	0	141	0	0	0	0	0	0	52	0	0	0	0	114	0
pos_13-23	0	0	71	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-24	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-25	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-6	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-7	0	0	181	0	0	236	0	0	0	72	0	0	0	0	58	0	26	0	0	0
pos_14-8	208	0	252	0	0	253	57	91	0	243	0	0	0	0	239	90	176	0	0	0
pos_14-9	254	41	143	0	0	136	198	248	0	219	0	0	0	0	254	161	216	0	20	0
pos_14-10	148	160	0	26	0	6	255	253	29	12	0	41	0	0	144	253	254	0	234	0
pos_14-11	0	253	0	133	0	0	255	253	255	0	0	248	0	0	23	253	204	0	254	72
pos_14-12	0	253	0	253	0	0	255	232	255	0	0	255	169	0	0	253	190	0	197	61
pos_14-13	0	208	0	253	0	0	170	159	29	13	0	254	253	0	0	143	109	0	44	0
pos_14-14	0	117	0	253	77	0	86	193	198	29	0	254	255	163	0	132	59	5	224	82
pos_14-15	0	242	0	253	201	9	57	254	255	114	0	236	27	254	0	255	0	206	254	253
pos_14-16	0	253	0	253	253	184	57	215	255	207	13	156	0	204	16	253	231	254	224	238
pos_14-17	113	210	0	253	253	254	57	0	255	254	215	231	0	20	254	236	254	191	103	0
pos_14-18	254	76	0	207	253	236	198	0	29	254	252	254	0	0	254	52	136	0	0	0
pos_14-19	237	0	0	0	155	29	255	0	0	243	230	50	0	0	239	4	0	0	0	0
pos_14-20	45	0	0	0	7	0	141	0	0	226	0	0	0	0	17	0	0	0	174	0
pos_14-21	0	0	253	0	0	0	86	0	0	115	0	0	0	95	0	0	0	0	254	0
pos_14-22	0	0	252	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	114	0
pos_14-23	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-24	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-25	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-6	0	0	42	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
pos_15-7	119	0	221	0	0	76	170	0	0	243	26	0	0	0	0	21	0	0	0	0
pos_15-8	250	0	252	0	0	59	255	0	0	254	7	0	0	20	94	217	0	0	17	0
pos_15-9	254	0	143	25	0	0	255	139	0	129	0	19	0	55	252	252	11	0	194	0
pos_15-10	129	1	0	201	0	0	141	146	198	96	0	172	0	4	254	252	23	0	254	0
pos_15-11	0	111	0	253	0	0	86	63	255	124	0	253	0	0	227	252	7	0	194	0
pos_15-12	0	251	0	253	0	0	0	0	170	203	0	254	169	0	128	252	2	0	128	0
pos_15-13	0	253	0	253	16	0	0	0	170	225	0	187	252	72	106	252	0	0	230	0
pos_15-14	0	253	0	253	207	0	0	0	226	255	0	94	253	247	106	252	0	17	254	105
pos_15-15	0	253	0	253	253	108	0	255	29	233	0	5	27	253	106	253	38	254	219	253
pos_15-16	0	198	0	253	253	254	0	216	29	237	153	0	0	107	153	252	243	254	30	160
pos_15-17	183	57	0	253	253	254	57	0	255	254	252	57	0	0	254	252	253	107	0	0
pos_15-18	254	0	0	242	154	56	255	0	170	238	252	235	0	0	254	252	69	0	0	0
pos_15-19	207	0	0	63	8	0	198	0	0	55	115	133	0	0	93	72	0	0	152	0
pos_15-20	0	0	84	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	239	0
pos_15-21	0	0	253	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	254	0
pos_15-22	0	0	252	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	72	0
pos_15-23	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-4	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
pos_16-5	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0
pos_16-6	0	0	135	0	0	0	170	0	0	43	207	0	0	32	0	0	0	0	0	0
pos_16-7	190	0	253	0	0	0	255	0	0	237	224	0	0	198	0	14	0	0	0	0
pos_16-8	254	0	253	108	0	0	170	0	0	254	211	5	0	230	0	200	0	0	56	0
pos_16-9	254	0	0	212	0	0	29	0	57	254	208	161	0	254	49	252	0	0	254	0
pos_16-10	13	0	0	253	0	0	0	0	255	254	133	253	0	117	128	252	0	0	253	0
pos_16-11	0	0	0	253	0	0	0	0	255	254	93	253	0	6	251	252	0	0	125	0
pos_16-12	0	161	0	253	0	0	0	0	86	202	17	128	169	75	254	252	0	0	223	0
pos_16-13	0	253	0	253	63	0	0	0	255	193	0	9	252	243	254	236	0	0	254	0
pos_16-14	0	253	0	253	253	60	0	63	57	109	0	0	165	254	254	216	0	123	214	105
pos_16-15	0	253	0	240	253	249	0	219	0	30	17	0	6	147	254	96	70	254	30	253
pos_16-16	112	136	0	104	253	253	86	229	0	168	209	0	0	5	254	108	253	222	3	197
pos_16-17	254	1	0	202	127	124	255	21	255	254	252	10	0	0	254	238	253	2	53	0
pos_16-18	254	0	0	253	9	2	255	0	255	132	210	223	0	0	166	252	69	0	224	0
pos_16-19	91	0	16	84	0	0	57	0	0	0	0	157	0	11	0	146	0	0	254	0
pos_16-20	0	0	191	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	236	0
pos_16-21	0	0	255	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	93	0
pos_16-22	0	0	180	0	0	0	0	0	0	0	34	0	0	8	0	0	0	0	1	0
pos_16-23	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0
pos_16-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-4	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0
pos_17-5	0	0	0	0	0	0	0	0	0	0	252	0	0	24	0	0	0	0	0	0
pos_17-6	0	0	217	0	0	0	255	0	0	3	252	0	0	213	0	0	0	0	0	0
pos_17-7	190	0	252	22	0	0	141	0	0	66	252	0	0	253	0	25	0	0	32	0
pos_17-8	254	0	252	244	0	0	0	0	0	109	252	68	0	253	0	225	0	0	222	0
pos_17-9	192	0	0	253	0	0	0	0	226	109	253	253	0	254	0	252	0	0	254	0
pos_17-10	5	0	0	253	0	0	0	0	255	109	252	253	0	253	0	252	0	0	144	0
pos_17-11	0	54	0	253	0	0	0	0	198	30	252	253	0	207	37	236	0	0	182	0
pos_17-12	0	248	0	253	0	0	0	0	198	0	234	6	169	241	40	101	0	0	254	0
pos_17-13	0	253	0	186	159	32	0	26	255	0	178	0	252	253	40	48	0	6	243	0
pos_17-14	0	253	0	180	253	190	0	238	0	0	106	0	140	119	40	0	0	231	29	128
pos_17-15	12	253	0	58	253	253	86	254	0	23	99	0	0	4	40	0	70	254	92	253
pos_17-16	185	253	0	0	229	244	226	173	114	239	252	0	0	0	221	17	253	219	181	138
pos_17-17	254	126	0	93	57	0	255	0	255	210	252	159	0	0	254	221	253	0	255	0
pos_17-18	251	0	21	253	0	0	86	0	141	2	32	253	0	0	129	252	69	0	254	0
pos_17-19	78	0	99	174	0	0	0	0	0	0	64	49	0	80	0	112	0	0	180	0
pos_17-20	0	0	252	0	0	0	0	0	0	0	116	0	0	253	0	0	0	0	26	0
pos_17-21	0	0	222	0	0	0	0	0	0	0	199	0	0	177	0	0	0	0	0	0
pos_17-22	0	0	45	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0
pos_17-23	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0
pos_17-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-4	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0
pos_18-5	0	0	0	0	0	0	0	73	0	0	253	0	0	120	0	0	0	0	0	0
pos_18-6	0	0	217	20	0	0	255	169	0	0	215	0	0	253	0	0	0	0	0	0
pos_18-7	190	0	252	206	0	0	170	94	0	0	116	0	0	253	0	37	0	0	115	0
pos_18-8	254	0	252	253	0	0	29	0	0	0	63	206	0	253	0	252	0	0	254	0
pos_18-9	147	0	0	253	0	0	0	0	255	0	0	254	0	254	0	252	0	0	254	0
pos_18-10	0	20	0	253	0	0	0	0	255	0	22	254	0	253	0	235	0	0	218	0
pos_18-11	0	200	0	253	0	0	0	0	29	0	146	230	32	253	0	70	0	0	254	0
pos_18-12	0	253	0	220	85	0	0	45	255	0	249	0	215	253	0	0	0	0	254	0
pos_18-13	0	248	0	107	240	104	29	196	255	0	253	0	252	155	0	0	0	14	252	0
pos_18-14	0	82	0	17	253	253	141	253	57	0	255	0	140	0	0	0	0	254	212	204
pos_18-15	173	122	0	0	253	244	255	234	170	125	253	19	0	0	17	0	162	254	246	250
pos_18-16	254	248	0	0	133	69	198	20	255	253	253	134	0	0	226	111	254	108	254	53
pos_18-17	252	251	37	26	0	0	86	0	226	52	253	254	0	0	254	252	254	0	186	0
pos_18-18	128	117	181	213	0	0	0	0	29	0	148	111	0	0	63	252	69	0	110	0
pos_18-19	0	0	252	240	0	0	0	0	0	0	255	0	0	195	0	72	0	0	2	0
pos_18-20	0	0	252	61	0	0	0	0	0	0	253	0	0	253	0	0	0	0	0	0
pos_18-21	0	0	125	0	0	0	0	0	0	0	236	0	0	62	0	0	0	0	0	0
pos_18-22	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0
pos_18-23	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0
pos_18-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-4	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0
pos_19-5	0	0	0	0	0	0	0	247	0	0	252	0	0	20	0	0	0	0	0	0
pos_19-6	0	0	217	125	0	0	198	253	0	0	183	0	0	82	0	0	0	0	0	0
pos_19-7	190	0	252	253	0	0	255	248	0	0	0	0	0	254	0	37	0	0	7	0
pos_19-8	254	0	252	253	0	0	198	79	0	0	0	254	0	254	0	252	0	0	241	0
pos_19-9	225	0	0	253	0	0	170	48	255	0	0	223	0	255	0	252	0	0	254	0
pos_19-10	40	129	0	241	0	0	114	125	255	0	0	187	0	254	0	235	0	0	254	0
pos_19-11	66	253	0	173	85	0	170	207	170	0	0	253	57	254	0	193	0	0	254	0
pos_19-12	25	227	0	14	241	119	170	245	255	0	207	165	253	254	0	90	0	0	254	0
pos_19-13	16	53	0	0	253	254	255	253	255	0	252	118	253	98	0	73	0	99	254	34
pos_19-14	102	0	0	0	253	241	255	235	255	72	253	183	141	0	0	73	0	254	254	237
pos_19-15	243	0	0	0	228	67	141	49	255	254	252	249	0	0	61	194	161	235	229	193
pos_19-16	254	77	84	0	32	0	0	0	226	162	252	251	0	0	254	227	253	15	64	0
pos_19-17	212	243	253	53	0	0	0	0	57	1	252	118	0	0	254	252	236	0	2	0
pos_19-18	0	203	252	253	0	0	0	0	0	0	252	9	0	149	30	215	19	0	0	0
pos_19-19	0	8	231	253	0	0	0	0	0	0	228	0	0	255	0	17	0	0	0	0
pos_19-20	0	0	108	91	0	0	0	0	0	0	132	0	0	173	0	0	0	0	0	0
pos_19-21	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0
pos_19-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-4	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0
pos_20-5	0	0	0	0	0	0	0	247	0	0	252	0	0	0	0	0	0	0	0	0
