	('Numbers: Zero-6893', 'Digit: Zero')	('Numbers: Zero-5527', 'Digit: Zero')	('Numbers: Three-3542', 'Digit: Three')	('Numbers: One-1307', 'Digit: One')	('Numbers: Four-5143', 'Digit: Four')	('Numbers: Three-3684', 'Digit: Three')	('Numbers: Nine-2060', 'Digit: Nine')	('Numbers: Zero-6385', 'Digit: Zero')	('Numbers: Seven-6004', 'Digit: Seven')	('Numbers: Zero-835', 'Digit: Zero')	('Numbers: Five-3702', 'Digit: Five')	('Numbers: Six-4719', 'Digit: Six')	('Numbers: Two-6328', 'Digit: Two')	('Numbers: Seven-4120', 'Digit: Seven')	('Numbers: Three-4074', 'Digit: Three')	('Numbers: Four-3566', 'Digit: Four')	('Numbers: Nine-6048', 'Digit: Nine')	('Numbers: Five-5969', 'Digit: Five')	('Numbers: Five-3018', 'Digit: Five')	('Numbers: Eight-3396', 'Digit: Eight')
pos_1-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
pos_3-7	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0
pos_3-8	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0
pos_3-9	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0
pos_3-10	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
pos_3-11	0	0	0	0	0	0	0	0	0	0	0	4	49	0	0	0	0	0	0	0
pos_3-12	0	0	0	0	0	0	0	0	0	0	0	151	6	0	0	0	0	0	0	0
pos_3-13	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0
pos_3-14	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0
pos_3-15	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0
pos_3-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-6	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
pos_4-7	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0
pos_4-8	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0
pos_4-9	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0
pos_4-10	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0
pos_4-11	0	0	0	0	0	0	0	0	0	0	0	142	254	0	0	0	0	0	0	0
pos_4-12	0	0	0	0	0	0	0	0	0	0	0	253	231	0	0	0	0	0	0	0
pos_4-13	0	0	0	0	0	0	0	0	0	7	0	253	110	0	0	0	0	0	0	0
pos_4-14	0	0	0	0	0	0	0	0	0	121	0	253	10	0	0	0	0	0	0	0
pos_4-15	0	96	0	0	0	0	0	0	0	122	0	11	0	0	64	0	0	0	0	0
pos_4-16	0	214	0	0	0	0	0	0	0	191	0	0	0	0	23	0	0	0	0	0
pos_4-17	24	253	0	0	0	0	0	76	0	121	0	0	0	0	0	0	0	0	0	0
pos_4-18	136	253	0	0	0	0	0	191	0	19	0	0	0	0	0	0	0	0	0	0
pos_4-19	213	153	0	0	0	0	0	255	0	0	60	0	0	0	0	0	0	0	0	0
pos_4-20	254	60	0	0	0	0	0	253	0	0	191	0	0	0	0	0	0	0	0	0
pos_4-21	67	0	0	0	0	0	0	222	0	0	141	0	0	0	0	0	0	0	0	0
pos_4-22	3	0	0	0	0	0	0	38	0	0	141	0	0	0	0	0	0	0	0	0
pos_4-23	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0
pos_4-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-6	0	0	109	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
pos_5-7	0	0	121	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0
pos_5-8	0	0	121	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0
pos_5-9	0	0	219	0	0	0	0	0	0	0	0	7	254	0	0	0	0	0	0	0
pos_5-10	0	0	253	0	2	67	0	0	0	0	0	66	254	0	0	0	0	0	0	0
pos_5-11	0	0	253	0	31	153	11	0	0	18	0	231	254	0	135	0	0	64	0	0
pos_5-12	0	0	253	0	220	185	44	0	0	122	0	253	254	0	211	0	0	71	0	0
pos_5-13	0	8	253	0	225	232	170	0	0	242	0	253	254	0	210	0	0	121	0	0
pos_5-14	0	131	255	0	98	254	255	0	0	253	0	220	227	0	210	0	0	122	0	0
pos_5-15	14	253	253	0	2	255	254	0	0	254	0	10	35	0	252	0	0	121	0	0
pos_5-16	89	251	204	92	0	255	249	98	0	253	0	0	0	0	225	0	0	170	0	16
pos_5-17	251	251	83	254	0	254	126	243	0	253	0	0	0	0	210	0	0	254	0	119
pos_5-18	253	251	0	254	0	227	0	252	0	96	114	0	0	0	109	0	0	254	0	195
pos_5-19	253	251	0	13	0	146	0	253	0	0	234	0	0	0	83	201	0	130	64	228
pos_5-20	253	230	0	0	0	40	0	252	0	0	252	0	0	0	0	253	0	0	0	228
pos_5-21	253	67	0	0	0	12	0	252	0	0	253	0	0	0	0	80	0	0	0	38
pos_5-22	167	0	0	0	0	0	0	84	0	0	214	0	0	0	0	0	0	0	0	0
pos_5-23	27	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0
pos_5-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-4	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-5	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-6	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-7	0	0	252	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0
pos_6-8	0	0	252	0	0	0	0	0	0	0	0	7	254	0	0	0	0	121	0	0
pos_6-9	0	0	252	0	0	0	0	0	0	0	0	88	254	77	0	0	0	241	23	0
pos_6-10	0	0	252	0	44	91	15	0	0	0	0	253	254	41	75	23	0	241	199	0
pos_6-11	0	0	252	0	254	215	172	0	0	41	0	253	254	0	252	198	0	247	241	0
pos_6-12	0	64	252	0	254	253	253	0	0	253	0	253	254	0	242	226	0	248	241	0
pos_6-13	0	158	252	0	254	253	218	0	0	253	0	235	254	0	202	45	29	253	241	0
pos_6-14	78	251	253	0	254	182	194	26	0	253	0	19	254	0	121	0	141	254	242	40
pos_6-15	202	253	252	0	55	177	243	104	0	254	0	0	81	0	121	0	198	253	241	139
pos_6-16	253	251	252	165	0	177	253	240	0	253	38	0	6	25	121	0	170	253	241	239
pos_6-17	253	251	248	253	0	177	245	252	0	253	198	0	0	255	207	0	29	253	241	253
pos_6-18	253	251	204	253	0	177	25	252	0	245	234	0	0	228	252	77	0	253	241	253
pos_6-19	253	251	28	139	0	208	0	253	0	97	252	0	0	44	252	249	0	199	247	253
pos_6-20	253	253	0	0	0	253	0	252	0	0	177	0	0	0	176	252	0	0	241	254
pos_6-21	253	220	0	0	0	108	0	252	0	0	106	0	0	0	3	222	0	0	89	192
pos_6-22	253	0	0	0	0	0	0	84	0	0	19	0	0	0	0	39	0	0	0	0
pos_6-23	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-4	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-5	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-6	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-7	0	0	252	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0
pos_7-8	0	0	252	0	0	0	0	0	0	0	0	124	99	97	0	0	0	201	25	0
pos_7-9	0	0	252	0	0	0	0	0	0	0	0	253	99	242	0	61	0	253	198	0
pos_7-10	0	24	237	0	20	0	113	0	0	0	0	253	178	213	27	232	0	253	253	0
pos_7-11	0	84	158	0	197	16	243	0	0	83	0	253	229	180	136	252	29	253	253	0
pos_7-12	120	236	158	0	249	32	72	4	0	253	0	233	254	180	39	252	141	253	253	0
pos_7-13	189	251	158	0	254	32	6	29	0	253	0	120	254	180	0	154	255	253	253	107
pos_7-14	239	251	159	0	254	2	0	207	0	253	0	0	254	180	0	0	255	254	254	243
pos_7-15	253	253	247	15	55	0	30	252	0	254	76	0	254	180	0	0	255	253	253	254
pos_7-16	253	184	252	191	0	0	191	252	0	253	237	0	131	188	0	0	255	253	253	253
pos_7-17	250	31	252	253	0	0	253	252	0	253	253	0	0	253	0	0	198	253	253	240
pos_7-18	114	31	252	253	0	32	148	236	0	253	252	0	0	253	81	200	0	253	253	253
pos_7-19	65	169	185	150	0	217	0	225	0	186	127	0	0	207	165	252	0	219	253	253
pos_7-20	65	253	0	0	0	253	0	233	0	0	3	0	0	21	253	252	0	30	253	254
pos_7-21	181	228	0	0	0	89	0	252	0	0	0	0	0	0	128	216	0	0	93	153
pos_7-22	253	32	0	0	0	0	0	177	0	0	0	0	0	0	0	10	0	0	0	0
pos_7-23	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-5	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-6	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-7	0	0	172	0	0	0	0	0	0	0	0	7	0	33	0	0	0	0	0	0
pos_8-8	0	0	172	0	0	0	0	0	0	0	0	185	0	253	0	0	0	201	68	0
pos_8-9	0	0	74	0	0	0	37	0	0	0	0	253	0	253	0	110	0	253	253	0
pos_8-10	0	96	33	0	0	0	243	0	0	79	0	253	0	253	0	252	57	253	253	0
pos_8-11	61	251	0	0	5	0	94	0	0	237	0	253	16	253	0	252	226	253	253	0
pos_8-12	236	251	0	0	188	0	0	107	0	253	0	76	185	253	0	243	255	253	206	107
pos_8-13	253	251	0	0	254	0	0	252	0	253	4	0	254	253	0	93	255	253	173	241
pos_8-14	253	251	0	0	254	0	0	253	0	218	128	0	254	253	0	0	141	254	174	253
pos_8-15	253	95	37	79	55	0	0	252	0	53	253	0	254	253	0	0	114	253	117	209
pos_8-16	214	23	160	253	0	0	33	252	0	53	253	0	179	253	0	0	226	253	89	84
pos_8-17	102	0	252	253	0	100	253	236	0	53	163	0	0	253	0	80	255	253	173	221
pos_8-18	0	0	252	253	0	221	214	50	0	187	38	0	0	253	0	246	114	189	237	251
pos_8-19	0	59	198	46	0	253	0	0	0	239	0	0	0	122	10	252	0	144	253	235
pos_8-20	0	253	0	0	0	150	0	85	0	88	0	0	0	0	202	252	0	13	240	209
pos_8-21	84	251	0	0	0	31	0	252	0	0	0	0	0	0	253	212	0	0	64	30
pos_8-22	253	126	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-23	253	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-5	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-6	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-7	0	0	0	0	0	0	0	0	0	0	0	65	0	8	0	0	0	0	0	0
pos_9-8	0	0	0	0	0	0	0	0	0	0	0	253	0	136	0	64	0	201	173	0
pos_9-9	0	60	0	0	0	0	148	0	0	15	0	253	0	220	0	241	29	253	253	0
pos_9-10	56	255	0	0	0	0	200	0	0	201	0	253	0	220	0	252	198	253	253	0
pos_9-11	241	253	0	0	66	0	2	120	0	253	0	153	0	228	0	252	255	253	196	105
pos_9-12	253	253	39	0	254	0	0	253	0	253	0	9	17	253	0	225	226	253	22	243
pos_9-13	253	253	67	0	254	0	0	253	0	144	79	0	206	253	0	0	29	253	0	246
pos_9-14	253	95	68	10	254	0	0	255	0	31	252	0	254	252	0	0	0	254	0	129
pos_9-15	253	0	124	195	55	0	0	253	0	0	252	0	254	220	0	0	0	225	0	27
pos_9-16	92	0	247	253	0	108	60	133	0	0	151	0	179	245	0	0	86	136	0	158
pos_9-17	0	0	252	253	0	251	253	0	0	0	0	0	0	253	0	94	255	53	0	253
pos_9-18	0	0	252	253	0	253	253	0	0	21	0	0	0	248	0	252	141	11	165	202
pos_9-19	0	0	163	13	0	142	0	0	0	214	0	0	0	106	27	252	0	0	239	0
pos_9-20	0	255	0	0	0	2	0	85	0	199	0	0	0	0	219	252	0	0	156	0
pos_9-21	84	253	0	0	0	0	0	253	0	0	0	0	0	0	253	107	0	0	0	0
pos_9-22	253	126	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-23	148	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
