	('Numbers: Nine-2242', 'Digit: Nine')	('Numbers: Eight-198', 'Digit: Eight')	('Numbers: One-6679', 'Digit: One')	('Numbers: Seven-3604', 'Digit: Seven')	('Numbers: Zero-482', 'Digit: Zero')	('Numbers: Two-2790', 'Digit: Two')	('Numbers: Three-6054', 'Digit: Three')	('Numbers: Eight-4', 'Digit: Eight')	('Numbers: Six-6789', 'Digit: Six')	('Numbers: One-3068', 'Digit: One')	('Numbers: Nine-6456', 'Digit: Nine')	('Numbers: Five-4709', 'Digit: Five')	('Numbers: One-5022', 'Digit: One')	('Numbers: Nine-4922', 'Digit: Nine')	('Numbers: Four-3164', 'Digit: Four')	('Numbers: One-1368', 'Digit: One')	('Numbers: Eight-4650', 'Digit: Eight')	('Numbers: Three-3429', 'Digit: Three')	('Numbers: Three-2297', 'Digit: Three')	('Numbers: Two-5623', 'Digit: Two')
pos_9-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-5	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0
pos_10-6	0	0	0	0	98	0	0	0	0	0	0	254	0	0	29	0	0	0	0	0
pos_10-7	0	116	0	71	243	49	0	0	30	0	0	144	0	0	234	0	0	0	0	0
pos_10-8	0	253	0	93	252	88	0	0	225	0	143	0	0	0	253	0	0	0	0	0
pos_10-9	96	254	0	93	253	7	0	149	253	0	253	0	0	0	196	0	0	0	0	0
pos_10-10	254	23	0	93	223	0	0	253	243	0	253	0	0	8	0	0	57	0	0	0
pos_10-11	180	0	183	93	58	0	0	230	62	0	253	0	0	105	0	0	253	0	0	0
pos_10-12	0	0	250	93	9	0	0	34	0	0	225	0	0	246	0	0	153	0	0	0
pos_10-13	0	0	250	93	0	0	0	0	0	0	74	0	0	97	0	0	0	0	0	0
pos_10-14	0	0	252	93	0	0	0	0	0	203	0	0	124	0	0	211	57	0	112	0
pos_10-15	173	207	225	135	0	0	0	0	0	254	0	0	255	0	225	253	253	0	254	0
pos_10-16	254	185	82	247	0	0	0	69	0	253	45	0	253	0	253	63	140	64	254	0
pos_10-17	254	17	0	247	122	89	0	253	11	102	253	0	21	8	196	0	41	253	254	0
pos_10-18	158	26	0	247	252	253	27	253	24	0	254	0	0	110	0	0	253	212	129	0
pos_10-19	0	224	0	251	253	253	253	253	24	0	173	0	0	10	0	0	244	0	0	0
pos_10-20	0	253	0	253	252	25	246	253	20	0	0	0	0	0	0	0	25	0	0	100
pos_10-21	0	140	0	253	252	0	19	79	0	0	0	0	0	0	0	0	0	0	0	253
pos_10-22	0	2	0	253	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253
pos_10-23	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
pos_10-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_10-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-5	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0
pos_11-6	0	0	0	95	197	0	0	0	0	0	0	254	0	0	134	0	0	0	0	0
pos_11-7	0	108	0	239	252	0	0	0	54	0	0	84	0	0	252	0	0	0	0	0
pos_11-8	0	253	0	253	252	0	0	0	253	0	175	0	0	0	253	0	0	0	0	0
pos_11-9	182	254	0	253	228	0	0	149	253	0	253	0	0	7	96	0	0	0	0	0
pos_11-10	215	40	0	253	52	0	0	253	147	0	253	0	0	182	0	0	57	0	0	0
pos_11-11	12	0	183	253	0	0	0	221	0	0	170	0	0	227	0	0	252	0	0	0
pos_11-12	0	0	250	253	0	0	0	13	0	0	39	0	0	89	0	0	252	0	0	0
pos_11-13	17	0	250	253	0	0	54	0	0	0	0	0	22	0	0	59	26	0	8	0
pos_11-14	93	0	252	253	0	0	126	0	0	203	0	0	225	0	0	249	57	52	213	0
pos_11-15	231	38	204	253	0	0	169	28	0	253	67	0	253	0	225	253	252	180	254	0
pos_11-16	254	13	0	251	0	0	169	156	35	252	240	0	189	5	253	63	165	238	254	0
pos_11-17	250	41	0	214	29	91	169	253	191	61	253	0	5	148	96	0	216	245	243	0
pos_11-18	57	174	0	224	252	253	239	253	253	0	254	0	0	254	0	0	252	17	31	0
pos_11-19	0	253	0	253	228	220	253	253	253	0	162	0	0	22	0	0	93	0	0	0
pos_11-20	0	244	0	253	214	15	169	176	236	0	0	0	0	0	0	0	0	0	0	100
pos_11-21	0	17	0	253	252	0	7	11	119	0	0	0	0	0	0	0	0	0	0	253
pos_11-22	0	0	0	229	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253
pos_11-23	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135
pos_11-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_11-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-4	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-5	0	0	0	139	10	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0
pos_12-6	0	0	0	250	203	0	0	0	0	0	0	254	0	0	198	0	0	0	0	0
pos_12-7	0	24	0	253	252	0	0	0	136	0	15	209	0	0	253	0	0	0	0	0
pos_12-8	0	253	0	253	252	0	0	0	253	0	232	85	0	0	242	0	0	0	0	0
pos_12-9	162	254	0	253	126	0	0	63	253	0	253	66	0	99	66	0	0	0	49	0
pos_12-10	252	240	0	253	0	0	0	236	64	0	253	66	0	254	29	0	13	0	96	0
pos_12-11	201	101	183	253	0	0	0	253	0	0	188	112	0	92	29	0	209	17	96	0
pos_12-12	149	0	250	253	0	0	27	175	0	0	109	148	0	0	29	0	252	64	96	0
pos_12-13	241	0	250	155	0	0	228	14	0	31	85	148	160	0	16	64	113	170	127	0
pos_12-14	254	0	252	115	0	0	253	0	14	233	165	227	252	0	104	252	13	233	254	0
pos_12-15	254	0	204	115	0	0	252	186	96	254	228	231	232	7	253	253	209	253	254	0
pos_12-16	254	34	0	108	0	0	252	253	241	253	253	171	40	179	254	63	252	237	254	0
pos_12-17	187	229	0	0	10	192	252	253	253	0	253	140	0	254	84	0	253	67	184	0
pos_12-18	0	253	0	62	84	253	252	253	253	0	254	66	0	232	0	0	233	0	0	0
pos_12-19	0	244	0	253	47	175	174	196	253	0	74	13	0	15	0	0	37	0	0	0
pos_12-20	0	69	0	253	85	0	11	13	253	0	0	0	0	0	0	0	0	0	0	127
pos_12-21	0	0	0	223	252	0	0	0	234	0	0	0	0	0	0	0	0	0	0	253
pos_12-22	0	0	0	45	252	0	0	0	139	0	0	0	0	0	0	0	0	0	0	253
pos_12-23	0	0	0	0	205	0	0	0	9	0	0	0	0	0	0	0	0	0	0	48
pos_12-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_12-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-3	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-4	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-5	0	0	0	253	163	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0
pos_13-6	0	0	0	253	252	0	0	0	11	0	0	254	0	0	172	0	0	0	0	0
pos_13-7	0	0	0	253	252	0	0	0	196	0	17	254	0	0	252	0	0	0	0	0
pos_13-8	0	34	0	206	173	0	0	0	253	0	241	254	0	7	253	0	0	0	0	0
pos_13-9	15	229	0	117	0	0	0	0	149	0	253	254	0	206	252	0	0	0	229	0
pos_13-10	119	254	0	14	0	0	0	71	7	0	253	254	0	170	252	0	0	107	254	0
pos_13-11	249	254	183	14	0	0	0	253	0	0	253	254	0	1	252	0	197	222	254	0
pos_13-12	234	186	250	14	0	0	109	253	0	0	253	254	0	0	253	0	252	253	254	0
pos_13-13	216	26	250	5	0	0	253	174	0	51	253	254	169	0	215	64	163	254	254	0
pos_13-14	98	0	252	0	0	0	255	50	150	252	253	254	252	46	252	252	0	253	254	0
pos_13-15	192	100	204	0	0	0	253	199	253	253	253	254	211	231	252	253	147	245	254	0
pos_13-16	254	229	0	0	0	17	253	253	253	252	253	254	0	229	253	63	252	111	254	0
pos_13-17	148	254	0	0	0	216	253	253	253	0	253	254	0	254	196	0	241	0	226	0
pos_13-18	0	241	0	62	0	253	253	237	253	0	240	254	0	162	169	0	59	0	57	0
pos_13-19	0	67	0	253	0	135	124	74	253	0	34	228	0	0	69	0	0	0	0	54
pos_13-20	0	0	0	253	85	0	0	0	253	0	0	100	0	0	51	0	0	0	0	231
pos_13-21	0	0	0	54	252	0	0	0	253	0	0	0	0	0	0	0	0	0	0	253
pos_13-22	0	0	0	0	252	0	0	0	253	0	0	0	0	0	0	0	0	0	0	226
pos_13-23	0	0	0	0	252	0	0	0	35	0	0	0	0	0	0	0	0	0	0	9
pos_13-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_13-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-3	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-4	0	0	0	253	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-5	0	0	0	253	253	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0
pos_14-6	0	0	0	242	253	0	0	0	80	0	0	254	0	0	85	0	0	0	0	0
pos_14-7	0	0	0	105	225	0	0	0	253	0	0	254	0	0	252	0	0	0	0	0
pos_14-8	0	0	0	31	0	0	0	0	253	0	71	243	0	23	253	0	0	0	0	0
pos_14-9	0	40	0	0	0	0	0	0	47	0	245	171	0	254	252	0	0	0	228	9
pos_14-10	0	207	0	0	0	0	0	9	0	0	254	198	0	86	252	0	0	63	254	69
pos_14-11	58	253	183	0	0	0	0	92	0	0	253	171	0	0	252	0	135	212	254	69
pos_14-12	0	253	250	0	0	0	64	234	0	0	254	171	18	0	253	0	253	212	254	55
pos_14-13	0	239	250	0	0	0	252	253	80	51	253	171	239	47	252	64	229	213	254	0
pos_14-14	46	197	252	0	0	0	253	253	241	253	253	119	252	230	252	253	79	226	254	0
pos_14-15	254	249	204	0	0	0	252	253	253	254	254	90	124	165	252	255	253	255	254	0
pos_14-16	254	253	0	0	0	102	217	253	253	151	253	95	0	88	253	63	253	254	254	0
pos_14-17	81	254	0	85	0	253	252	237	253	0	253	179	0	254	252	0	151	166	254	0
pos_14-18	0	106	0	202	0	236	252	74	253	0	248	254	0	15	252	0	0	18	250	24
pos_14-19	0	0	0	233	0	31	225	0	253	0	57	254	0	0	252	0	0	0	174	227
pos_14-20	0	0	0	222	85	0	21	0	209	0	0	252	0	0	247	0	0	0	10	253
pos_14-21	0	0	0	40	253	0	0	0	253	0	0	156	0	0	153	0	0	0	0	253
pos_14-22	0	0	0	0	253	0	0	0	253	0	0	8	0	0	0	0	0	0	0	141
pos_14-23	0	0	0	0	112	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0
pos_14-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_14-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-3	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-4	0	0	0	253	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-5	0	0	0	177	252	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0
pos_15-6	0	0	0	78	252	0	0	0	154	0	0	164	0	0	10	0	0	0	0	0
pos_15-7	0	0	0	0	176	0	0	0	253	0	0	104	0	0	128	0	0	0	0	43
pos_15-8	0	0	0	0	0	0	0	0	222	0	0	19	0	55	253	0	0	0	0	147
pos_15-9	0	0	0	0	0	0	0	0	26	0	16	0	0	254	252	0	0	0	100	205
pos_15-10	0	9	0	0	0	0	0	0	0	0	104	0	0	111	252	0	0	0	218	253
pos_15-11	0	129	185	0	0	0	0	0	0	0	198	0	0	71	252	0	28	0	194	253
pos_15-12	0	246	252	0	0	0	6	77	75	0	204	0	145	134	253	0	234	0	194	243
pos_15-13	0	254	252	0	0	0	109	253	245	92	184	0	253	221	252	143	253	0	194	199
pos_15-14	201	253	255	0	0	0	65	253	253	252	65	0	191	156	252	252	252	21	194	199
pos_15-15	254	253	210	0	0	112	21	253	253	253	198	0	0	17	252	253	252	72	232	199
pos_15-16	194	253	17	0	0	227	30	236	211	70	253	0	0	220	253	63	177	190	254	199
pos_15-17	3	155	0	116	0	253	237	75	89	0	253	0	0	122	252	0	0	253	254	199
pos_15-18	0	4	0	253	0	186	252	0	23	0	219	38	0	1	252	0	0	186	254	217
pos_15-19	0	0	0	92	38	0	236	0	23	0	31	188	0	0	252	0	0	0	254	253
pos_15-20	0	0	0	0	219	0	37	0	108	0	0	253	0	0	253	0	0	0	191	253
pos_15-21	0	0	0	0	252	0	0	0	253	0	0	255	0	0	196	0	0	0	16	253
pos_15-22	0	0	0	0	252	0	0	0	253	0	0	207	0	0	0	0	0	0	0	45
pos_15-23	0	0	0	0	112	0	0	0	142	0	0	40	0	0	0	0	0	0	0	0
pos_15-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_15-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-3	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-4	0	0	0	116	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-5	0	0	0	10	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-6	0	0	0	0	208	0	0	0	154	0	0	0	0	0	0	0	0	0	0	4
pos_16-7	0	0	0	0	19	0	0	0	253	0	0	0	0	0	0	0	0	0	0	178
pos_16-8	0	0	0	0	0	0	0	0	182	0	0	0	0	4	0	0	0	0	0	253
pos_16-9	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	253
pos_16-10	0	0	0	0	0	0	0	0	0	0	0	0	0	254	38	0	0	0	16	253
pos_16-11	0	9	183	0	0	0	0	11	6	0	0	0	0	246	113	0	0	0	0	253
pos_16-12	0	209	250	0	0	0	0	161	251	0	0	0	232	223	63	0	187	0	0	253
pos_16-13	3	254	250	0	0	1	0	253	253	214	0	0	252	90	144	126	253	0	0	253
pos_16-14	209	253	252	0	0	96	0	253	251	253	0	0	147	0	253	252	252	0	0	253
pos_16-15	254	253	250	0	0	230	0	253	205	254	159	0	0	134	253	253	148	0	25	253
pos_16-16	115	253	181	15	0	253	0	151	22	50	253	0	0	239	254	150	31	6	85	253
pos_16-17	0	127	0	241	0	157	48	0	0	0	253	0	0	0	247	0	0	215	210	253
pos_16-18	0	0	0	253	0	7	242	0	1	0	49	0	0	0	225	0	0	251	254	253
pos_16-19	0	0	0	185	144	0	253	0	82	0	0	0	0	0	225	0	0	58	254	253
pos_16-20	0	0	0	0	252	0	89	0	211	0	0	121	0	0	214	0	0	0	254	253
pos_16-21	0	0	0	0	252	0	0	0	253	0	0	252	0	0	38	0	0	0	65	168
pos_16-22	0	0	0	0	230	0	0	0	253	0	0	254	0	0	0	0	0	0	0	4
pos_16-23	0	0	0	0	25	0	0	0	37	0	0	185	0	0	0	0	0	0	0	0
pos_16-24	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
pos_16-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_16-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-4	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-5	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-6	0	0	0	0	102	0	0	0	154	0	0	0	0	0	0	0	0	0	0	117
pos_17-7	0	0	0	0	0	0	27	0	253	0	0	0	0	0	0	0	0	0	0	253
pos_17-8	0	0	0	0	0	0	18	0	190	0	0	0	0	0	0	0	0	0	0	253
pos_17-9	0	0	0	0	0	0	0	0	6	0	0	0	0	23	0	0	0	0	0	243
pos_17-10	0	13	0	0	0	0	0	10	0	0	0	0	0	58	0	0	0	0	0	166
pos_17-11	0	187	133	0	0	0	0	101	6	0	0	0	8	42	0	0	38	0	0	145
pos_17-12	0	254	238	0	0	0	0	253	253	82	0	0	234	0	0	0	225	0	0	67
pos_17-13	78	254	250	0	0	38	0	253	253	253	0	0	252	0	57	169	253	0	0	166
pos_17-14	254	216	252	0	0	253	0	237	194	252	4	0	94	25	252	252	252	0	0	188
pos_17-15	254	241	250	7	0	253	0	233	0	253	219	0	0	242	252	253	56	0	0	253
pos_17-16	49	254	181	131	23	192	0	158	0	91	253	0	0	123	253	63	0	17	0	253
pos_17-17	0	254	0	253	44	18	0	0	14	0	237	0	0	0	196	0	0	222	71	253
pos_17-18	0	107	0	253	169	0	167	0	96	0	23	0	0	0	0	0	0	244	254	253
pos_17-19	0	0	0	92	253	0	253	0	253	0	0	0	0	0	0	0	0	47	254	253
pos_17-20	0	0	0	0	252	0	168	0	253	0	0	0	0	0	0	0	0	0	254	170
pos_17-21	0	0	0	0	252	0	0	0	253	0	0	152	0	0	0	0	0	0	65	25
pos_17-22	0	0	0	0	223	0	0	0	191	0	0	254	0	0	0	0	0	0	0	0
pos_17-23	0	0	0	0	0	0	0	0	15	0	0	254	0	0	0	0	0	0	0	0
pos_17-24	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0
pos_17-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_17-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-4	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-5	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3
pos_18-6	0	0	0	0	55	0	31	0	132	0	0	0	0	0	0	0	0	0	117	179
pos_18-7	0	0	0	0	0	0	218	0	253	0	0	0	0	0	0	0	0	0	178	253
pos_18-8	0	0	0	0	0	7	122	0	253	0	0	0	0	0	0	0	0	0	40	232
pos_18-9	0	0	0	0	0	117	0	0	69	0	0	6	0	0	0	0	0	0	0	32
pos_18-10	0	181	0	0	0	167	0	131	0	0	0	16	0	0	0	0	7	0	0	0
pos_18-11	0	253	0	0	0	216	0	253	3	0	0	0	112	0	0	0	204	0	0	0
pos_18-12	0	253	206	0	0	228	0	253	99	123	0	0	252	0	0	0	253	0	0	0
pos_18-13	144	224	250	0	0	239	0	173	206	254	0	0	210	0	57	169	254	0	0	0
pos_18-14	254	27	252	0	0	253	43	38	103	253	90	0	14	65	252	252	253	0	0	108
pos_18-15	211	61	250	144	48	253	43	186	37	254	253	0	0	242	252	218	56	0	0	253
pos_18-16	9	198	181	253	227	66	96	185	147	91	253	0	0	20	253	11	0	64	0	253
pos_18-17	0	254	0	253	252	0	174	0	205	0	188	0	0	0	109	0	0	253	81	253
pos_18-18	0	232	0	147	252	0	253	0	253	0	2	0	0	0	0	0	0	212	254	253
pos_18-19	0	42	0	47	253	0	230	0	253	0	0	0	0	0	0	0	0	0	254	128
pos_18-20	0	0	0	0	252	0	71	0	253	0	0	0	0	0	0	0	0	0	254	22
pos_18-21	0	0	0	0	252	0	0	0	211	0	0	13	0	0	0	0	0	0	143	0
pos_18-22	0	0	0	0	145	0	0	0	19	0	0	198	0	0	0	0	0	0	0	0
pos_18-23	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0
pos_18-24	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0
pos_18-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_18-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-4	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-5	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7
pos_19-6	0	0	0	0	143	0	127	0	27	0	0	0	0	0	0	0	0	0	254	253
pos_19-7	0	0	0	0	101	10	252	0	232	0	0	0	0	0	0	0	0	0	254	246
pos_19-8	0	0	0	0	0	171	252	0	253	0	0	27	0	0	0	0	0	0	174	79
pos_19-9	0	0	0	0	51	253	191	125	229	0	0	213	0	0	0	0	7	0	8	0
pos_19-10	0	230	0	0	50	253	190	237	133	0	0	189	36	0	0	0	150	0	0	0
pos_19-11	0	253	0	0	113	226	102	253	66	0	0	0	242	0	0	0	252	0	0	0
pos_19-12	0	253	206	0	113	253	190	114	66	203	0	0	252	0	0	0	227	0	0	20
pos_19-13	220	84	250	0	191	253	190	14	140	253	0	0	101	0	57	169	153	0	0	127
pos_19-14	254	0	252	0	255	253	253	0	183	252	78	0	0	149	252	253	252	0	0	245
pos_19-15	101	0	250	224	253	253	252	186	237	213	253	0	0	208	252	212	130	4	0	253
pos_19-16	0	17	181	253	253	206	252	185	253	10	253	0	0	0	253	0	0	140	43	253
pos_19-17	0	211	0	221	253	135	252	0	253	0	253	0	0	0	84	0	0	254	230	253
pos_19-18	0	253	0	27	253	68	252	0	253	0	57	0	0	0	0	0	0	133	254	128
pos_19-19	0	213	0	0	255	20	211	0	253	0	0	0	0	0	0	0	0	0	254	5
pos_19-20	0	0	0	0	253	0	0	0	211	0	0	0	0	0	0	0	0	0	254	0
pos_19-21	0	0	0	0	133	0	0	0	85	0	0	0	0	0	0	0	0	0	65	0
pos_19-22	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0
pos_19-23	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0
pos_19-24	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0
pos_19-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_19-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-4	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_20-5	0	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7
