	('Numbers: Four-2516', 'Digit: Four')	('Numbers: Four-6599', 'Digit: Four')	('Numbers: Two-2232', 'Digit: Two')	('Numbers: Three-1759', 'Digit: Three')	('Numbers: Two-5167', 'Digit: Two')	('Numbers: Seven-7284', 'Digit: Seven')	('Numbers: Five-2740', 'Digit: Five')	('Numbers: Five-2979', 'Digit: Five')	('Numbers: Five-3449', 'Digit: Five')	('Numbers: Four-1948', 'Digit: Four')	('Numbers: Three-3812', 'Digit: Three')	('Numbers: Six-4764', 'Digit: Six')	('Numbers: Nine-6936', 'Digit: Nine')	('Numbers: Five-2166', 'Digit: Five')	('Numbers: One-3582', 'Digit: One')	('Numbers: Five-5611', 'Digit: Five')	('Numbers: Eight-3689', 'Digit: Eight')	('Numbers: Two-924', 'Digit: Two')	('Numbers: Zero-4093', 'Digit: Zero')	('Numbers: Zero-719', 'Digit: Zero')
pos_1-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_1-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_2-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-11	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-12	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-13	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-14	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-15	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0
pos_3-16	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0
pos_3-17	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0
pos_3-18	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0
pos_3-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_3-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-5	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-6	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-7	0	0	0	254	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
pos_4-8	0	16	0	254	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0
pos_4-9	0	150	0	255	49	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0
pos_4-10	0	18	0	254	191	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0
pos_4-11	0	0	0	221	254	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0
pos_4-12	0	0	32	247	253	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0
pos_4-13	0	0	143	99	253	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0
pos_4-14	0	0	255	0	237	0	0	0	0	0	255	21	0	0	0	0	0	0	0	0
pos_4-15	0	0	251	0	71	0	0	0	0	0	163	201	0	0	0	0	14	0	0	0
pos_4-16	0	0	118	0	0	0	0	0	0	0	37	252	0	0	0	0	139	0	0	0
pos_4-17	0	0	70	0	0	0	0	20	0	0	2	253	0	0	0	0	218	0	0	0
pos_4-18	0	0	0	0	0	0	0	88	0	0	0	179	0	0	0	0	255	0	0	0
pos_4-19	0	21	0	0	0	0	0	214	0	0	0	0	0	0	0	0	150	0	0	0
pos_4-20	0	255	0	0	0	0	0	167	0	0	0	0	0	0	0	0	146	0	0	0
pos_4-21	0	36	0	0	0	0	0	36	0	0	0	0	0	0	0	0	57	0	0	0
pos_4-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0
pos_4-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_4-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-4	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0
pos_5-5	0	0	0	139	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0
pos_5-6	0	0	0	180	0	0	0	0	0	155	5	0	0	0	0	0	0	0	0	0
pos_5-7	0	0	0	102	0	0	0	0	0	5	136	0	0	0	0	0	0	0	0	0
pos_5-8	0	65	0	18	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0
pos_5-9	79	253	0	76	64	0	0	0	11	0	253	0	0	0	0	0	0	0	0	0
pos_5-10	216	31	0	108	253	0	0	0	139	0	253	0	0	0	96	0	0	7	0	0
pos_5-11	119	0	87	140	255	0	0	0	61	0	253	0	0	0	195	0	0	37	0	0
pos_5-12	0	0	214	150	253	0	0	4	0	0	253	0	0	50	49	0	0	126	0	0
pos_5-13	0	0	253	253	253	0	0	60	0	0	253	0	0	60	0	0	0	126	0	0
pos_5-14	0	0	253	20	253	0	0	60	0	0	253	94	0	218	0	0	17	131	0	0
pos_5-15	0	0	253	0	174	0	45	113	0	0	253	252	0	42	0	0	186	222	0	22
pos_5-16	0	0	253	0	0	0	56	174	0	0	253	252	0	0	0	0	253	222	0	161
pos_5-17	0	0	245	0	0	0	101	238	0	0	111	253	0	0	0	0	253	222	0	197
pos_5-18	0	0	84	0	0	0	155	253	0	0	1	179	0	0	0	0	253	222	0	227
pos_5-19	0	60	0	0	0	0	164	253	0	0	0	0	0	0	0	0	253	57	0	114
pos_5-20	0	253	0	0	0	0	255	224	0	0	0	0	0	0	0	0	253	0	52	0
pos_5-21	0	36	0	0	0	0	201	0	0	0	0	0	0	0	0	0	253	0	180	0
pos_5-22	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	128	215	0	128	0
pos_5-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	154	0	0	0
pos_5-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
pos_5-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_5-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-4	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0
pos_6-5	0	0	0	132	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0
pos_6-6	0	0	0	127	0	0	0	0	0	192	116	0	0	0	0	0	0	0	0	0
pos_6-7	0	12	0	0	0	0	0	0	0	5	253	0	0	0	0	0	0	0	0	0
pos_6-8	0	211	0	0	0	0	56	0	0	0	253	0	0	0	0	0	0	44	0	0
pos_6-9	116	51	0	0	8	0	111	0	136	0	253	0	0	0	0	0	0	161	0	0
pos_6-10	252	14	33	0	31	0	111	0	253	0	156	0	0	0	241	0	0	202	0	0
pos_6-11	224	0	235	0	31	0	143	44	185	0	82	0	0	15	254	0	0	254	0	0
pos_6-12	19	0	253	10	31	0	210	235	0	0	82	0	0	185	227	0	0	254	0	0
pos_6-13	0	0	239	204	142	0	210	253	0	0	102	0	0	252	18	0	0	254	0	0
pos_6-14	0	0	177	168	253	0	210	253	0	0	212	217	0	252	0	0	149	254	0	22
pos_6-15	0	0	179	0	253	0	245	254	0	0	253	252	0	113	0	128	253	254	0	242
pos_6-16	0	0	253	0	0	0	254	253	0	0	253	252	0	146	0	128	253	254	0	254
pos_6-17	0	0	253	0	0	0	253	253	0	0	253	253	0	146	0	128	252	220	0	254
pos_6-18	0	44	195	0	0	0	243	249	0	0	111	179	0	137	0	255	160	130	87	229
pos_6-19	0	238	17	0	0	0	244	222	22	0	0	0	0	85	0	255	139	7	107	253
pos_6-20	0	253	0	0	0	0	243	35	47	0	0	0	0	85	0	255	169	0	235	106
pos_6-21	0	36	0	0	0	0	244	0	47	0	0	0	0	50	0	255	253	0	253	0
pos_6-22	0	0	0	0	0	0	119	0	47	0	0	0	0	85	0	255	253	0	210	0
pos_6-23	0	0	0	0	0	0	0	0	30	0	0	0	0	43	0	255	253	0	38	0
pos_6-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	129	0	0	0
pos_6-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_6-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-4	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0
pos_7-5	0	0	0	12	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0
pos_7-6	0	0	0	27	0	0	0	0	0	253	154	0	0	0	0	0	0	0	0	0
pos_7-7	0	84	0	0	0	0	0	0	0	79	253	0	0	0	0	0	0	80	0	0
pos_7-8	0	253	0	0	0	0	194	0	26	0	253	0	0	0	0	0	0	252	0	0
pos_7-9	7	78	0	0	0	0	253	0	236	0	253	0	0	0	0	0	0	254	0	0
pos_7-10	187	0	111	0	0	0	253	0	243	0	29	0	0	0	241	0	0	254	0	0
pos_7-11	252	0	253	0	0	0	253	191	82	0	0	0	0	148	254	0	0	254	0	0
pos_7-12	28	0	201	2	0	3	253	253	0	0	0	0	0	252	254	0	0	254	0	0
pos_7-13	0	0	50	134	128	62	229	253	26	0	0	47	3	252	112	64	29	254	0	0
pos_7-14	0	0	0	181	253	146	188	253	38	0	15	232	46	252	0	191	217	254	2	130
pos_7-15	0	0	2	0	253	155	187	209	70	44	122	252	136	252	0	255	253	254	33	254
pos_7-16	0	0	128	0	101	255	89	129	70	175	253	252	180	253	0	255	222	254	49	254
pos_7-17	48	0	250	0	0	255	84	60	101	44	253	253	254	252	0	255	79	253	197	153
pos_7-18	134	79	253	0	0	197	0	55	184	0	241	118	254	252	0	255	0	252	242	11
pos_7-19	19	253	54	0	0	146	0	33	215	0	0	0	255	252	0	255	0	163	253	192
pos_7-20	0	253	0	0	0	57	0	0	253	0	0	0	177	244	0	255	84	79	253	139
pos_7-21	0	36	0	0	0	1	0	0	252	0	0	0	46	206	0	255	253	0	253	0
pos_7-22	0	0	0	0	0	0	0	0	252	0	0	0	0	126	0	255	253	0	253	0
pos_7-23	0	0	0	0	0	0	0	0	227	0	0	0	0	63	0	255	241	0	111	0
pos_7-24	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	64	31	0	0	0
pos_7-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_7-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-4	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0
pos_8-5	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0
pos_8-6	0	0	0	0	0	0	0	0	0	253	45	0	0	0	0	0	0	0	0	0
pos_8-7	0	136	0	0	0	0	0	0	0	219	225	0	0	0	0	0	0	109	0	0
pos_8-8	0	240	0	0	0	0	17	0	134	9	253	0	0	0	0	0	0	254	0	0
pos_8-9	0	38	0	0	0	0	107	0	252	0	253	0	0	0	0	0	0	254	0	0
pos_8-10	169	0	111	0	0	0	254	0	253	0	71	0	0	98	90	0	0	254	0	0
pos_8-11	252	0	253	14	0	96	205	209	244	0	0	0	1	253	254	0	0	234	0	0
pos_8-12	28	0	184	134	0	188	40	253	207	0	0	0	16	252	254	64	0	230	0	0
pos_8-13	0	0	0	253	128	253	22	227	224	0	0	150	114	252	177	255	205	230	41	0
pos_8-14	0	0	0	84	254	253	0	38	232	23	0	252	253	252	0	255	253	239	128	215
pos_8-15	0	0	0	0	254	253	0	0	253	184	119	252	253	252	0	255	224	247	253	254
pos_8-16	0	0	0	0	160	253	0	0	252	253	253	252	253	253	0	255	38	254	253	254
pos_8-17	241	0	241	0	0	253	0	0	252	131	253	222	253	205	0	255	0	254	253	114
pos_8-18	227	79	253	0	0	253	0	0	252	0	241	25	253	136	0	255	0	254	253	0
pos_8-19	31	253	54	0	0	253	0	0	252	0	0	0	253	84	0	255	102	254	253	124
pos_8-20	0	247	0	0	0	253	0	0	161	0	0	0	253	49	0	255	233	254	253	139
pos_8-21	0	32	0	0	0	84	0	0	160	0	0	0	197	0	0	255	253	191	253	0
pos_8-22	0	0	0	0	0	0	0	0	128	0	0	0	8	0	0	255	243	69	253	0
pos_8-23	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	191	79	0	253	0
pos_8-24	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0
pos_8-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_8-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-4	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0
pos_9-5	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0
pos_9-6	0	26	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0
pos_9-7	0	233	0	0	0	0	0	0	64	237	45	0	0	0	0	0	0	17	0	0
pos_9-8	0	227	0	0	0	0	6	0	248	36	147	0	0	9	0	0	0	72	0	0
pos_9-9	16	0	0	0	0	0	198	0	252	0	234	0	0	89	0	0	0	72	0	0
pos_9-10	216	0	105	0	0	46	233	4	137	0	147	0	23	246	21	0	0	72	0	0
pos_9-11	253	0	252	63	0	246	22	215	189	0	0	0	168	236	202	0	0	12	0	0
pos_9-12	28	0	222	248	0	253	0	254	221	0	0	21	152	112	254	255	41	0	31	0
pos_9-13	0	0	37	148	128	253	0	156	252	0	0	253	223	42	189	255	242	0	222	122
pos_9-14	0	0	0	0	253	249	0	0	252	23	25	252	241	42	12	255	253	28	253	254
pos_9-15	0	0	0	0	253	192	0	0	243	229	220	252	200	42	0	255	111	49	253	254
pos_9-16	114	0	0	0	40	139	0	0	137	253	253	252	156	42	0	191	0	72	253	176
pos_9-17	255	0	241	0	0	183	0	0	137	191	253	125	134	11	0	128	0	72	253	85
pos_9-18	197	79	253	0	0	253	0	0	96	23	192	0	85	0	0	128	0	135	245	0
pos_9-19	0	253	54	0	0	253	0	0	22	0	0	0	157	0	0	64	135	214	203	124
pos_9-20	0	186	0	0	0	207	0	0	0	0	0	0	253	0	0	128	253	254	215	139
pos_9-21	0	0	0	0	0	16	0	0	0	0	0	0	253	0	0	0	253	254	253	0
pos_9-22	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	128	73	245	253	0
pos_9-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	253	0
pos_9-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pos_9-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
